Index,Snore_Data,RED,IR
3559,7525,23219,27514
3560,-3634,23216,27523
3561,-2852,23225,27527
3562,-3798,23220,27538
3563,-3581,23228,27547
3564,-10678,23232,27554
3565,-1094,23229,27564
3566,-5740,23236,27567
3567,-4225,23231,27569
3568,-4980,23235,27574
3569,-7095,23236,27572
3570,-3078,23233,27560
3571,-7393,23233,27562
3572,-8805,23225,27552
3573,-3530,23227,27550
3574,-2745,23222,27539
3575,-8214,23223,27546
3576,-2018,23226,27543
3577,13974,23224,27543
3578,8012,23224,27543
3579,-7902,23227,27554
3580,4135,23233,27553
3581,4493,23229,27561
3582,3783,23232,27566
3583,12664,23239,27571
3584,-1205,23238,27581
3585,-10320,23242,27589
3586,8373,23241,27592
3587,-1524,23244,27601
3588,-1294,23248,27609
3589,-222,23248,27614
3590,-4777,23257,27622
3591,3710,23258,27625
3592,6321,23261,27640
3593,90,23261,27638
3594,-1464,23263,27650
3595,659,23272,27657
3596,-1037,23274,27659
3597,3915,23271,27664
3598,-4856,23276,27677
3599,-6269,23278,27682
3600,-229,23281,27681
3601,1275,23281,27683
3602,-2327,23280,27693
3603,-2869,23284,27697
3604,-5213,23285,27702
3605,4613,23285,27704
3606,2760,23291,27710
3607,-5577,23289,27711
3608,952,23291,27716
3609,917,23292,27719
3610,-9388,23292,27720
3611,-2346,23293,27723
3612,1449,23298,27727
3613,-1290,23300,27735
3614,-1683,23297,27738
3615,-8811,23300,27742
3616,-4404,23301,27751
3617,-611,23308,27755
3618,-5572,23305,27760
3619,-1654,23310,27766
3620,-4881,23313,27773
