Index,Snore_Data,RED,IR
4379,16900,26781.0,29884.0
4380,10857,26787.0,29884.0
4381,11116,26790.0,29893.0
4382,17339,26790.0,29896.0
4383,9392,26788.0,29901.0
4384,11004,26792.0,29903.0
4385,8859,26788.0,29905.0
4386,13370,26793.0,29907.0
4387,16940,26792.0,29907.0
4388,12648,26794.0,29908.0
4389,9477,26785.0,29894.0
4390,14636,26784.0,29883.0
4391,10814,26779.0,29868.0
4392,12608,26776.0,29854.0
4393,9435,26766.0,29840.0
4394,9504,26760.0,29822.0
4395,14291,26755.0,29811.0
4396,11325,26757.0,29804.0
4397,8533,26755.0,29803.0
4398,2782,26757.0,29799.0
4399,3531,26753.0,29791.0
4400,4127,26747.0,29794.0
4401,6016,26748.0,29798.0
4402,6398,26749.0,29794.0
4403,9924,26749.0,29796.0
4404,9085,26746.0,29793.0
4405,2069,26742.0,29789.0
4406,1575,26744.0,29785.0
4407,2704,26745.0,29777.0
4408,184,26739.0,29778.0
4409,694,26739.0,29771.0
4410,6168,26732.0,29770.0
4411,5735,26735.0,29766.0
4412,2190,26739.0,29768.0
4413,419,26736.0,29768.0
4414,1828,26738.0,29774.0
4415,-2282,26740.0,29775.0
4416,-5681,26739.0,29778.0
4417,-2405,26742.0,29777.0
4418,-1475,26740.0,29780.0
4419,470,26739.0,29776.0
4420,-1905,26738.0,29774.0
4421,-3490,26739.0,29768.0
4422,-6460,26742.0,29773.0
4423,-2389,26735.0,29772.0
4424,-6398,26736.0,29772.0
4425,-8034,26734.0,29772.0
4426,-9952,26735.0,29768.0
4427,-490,26741.0,29766.0
4428,-9010,26738.0,29768.0
4429,-3883,26739.0,29774.0
4430,-5173,26737.0,29778.0
4431,-2579,26741.0,29778.0
4432,2641,26739.0,29777.0
4433,-8374,26739.0,29782.0
4434,3373,26741.0,29780.0
4435,-9573,26743.0,29781.0
4436,1370,26745.0,29787.0
4437,-4536,26746.0,29793.0
4438,-8203,26748.0,29795.0
4439,-6541,26750.0,29800.0
4440,-6159,26747.0,29798.0
4441,-1183,26751.0,29801.0
4442,-12115,26752.0,29806.0
4443,-6728,26749.0,29809.0
4444,-6670,26751.0,29809.0
4445,-6611,26754.0,29812.0
4446,-3427,26758.0,29814.0
4447,-9477,26752.0,29821.0
4448,-8039,26755.0,29824.0
4449,-9917,26756.0,29823.0
4450,-4547,26763.0,29827.0
4451,-9517,26758.0,29837.0
4452,-9831,26763.0,29833.0
